DOEID,HHSEX,HHAGE,EMPLOYHH,EDUCATION,SDESCENT,HOUSEHOLDER_RACE,NHSLDMEM,NUMCHILD,MONEYPY,TOTALBTU,TOTALDOL
100215,1,64,3,3,0,1,2,0,7,97860.99,1722.43
100216,2,61,4,3,0,1,1,0,4,24684.19,649.89
100217,2,59,1,2,0,1,6,2,13,158996.17,4320.91
100218,1,68,3,4,0,1,1,0,7,67091.45,1270.73
100219,1,52,2,3,0,4,4,1,14,34367.75,1581.0
100220,2,57,1,2,0,1,2,0,16,147023.04,3298.35
100221,1,24,2,3,0,1,3,0,15,55409.2,1581.33
100222,2,57,1,4,1,1,3,0,16,147320.77,4363.23
100223,2,79,3,3,1,2,3,0,9,51457.08,927.67
100224,2,50,1,3,0,1,3,0,13,159129.86,1333.98
100225,1,58,1,1,1,1,2,0,13,164824.59,4721.42
100226,2,72,3,3,0,4,2,0,11,36207.64,1244.51
100227,1,21,2,2,0,1,2,1,13,74656.57,1955.35
100228,1,25,1,4,0,1,2,0,14,88248.56,1760.21
100229,1,70,3,3,0,6,1,0,14,75626.8,2583.92
100230,1,69,3,3,0,1,1,0,8,103088.89,1308.3
100231,2,50,1,3,0,1,3,1,13,63024.77,2245.79
100232,2,37,1,4,0,1,4,2,15,123336.99,2645.88
100233,1,36,1,4,0,1,4,2,14,122544.49,1828.17
100234,1,30,1,3,0,1,3,1,15,88437.18,1604.99
100235,2,74,3,1,0,1,3,1,8,81624.32,2644.04
100236,1,23,2,4,0,1,3,0,2,8579.97,2036.29
100237,2,56,1,5,0,1,3,1,16,204219.72,6659.05
100238,2,70,3,4,0,1,2,0,13,62356.12,2252.75
100239,1,40,2,4,0,1,6,2,11,74996.75,1252.04
100240,2,56,1,2,0,1,2,0,13,84947.56,1673.44
100241,2,66,3,3,0,1,5,2,11,129848.47,2237.63
100242,2,33,1,4,0,1,1,0,9,10927.55,511.15
100243,2,36,4,4,0,1,2,0,14,87654.08,2438.6
100244,2,52,1,4,0,1,1,0,14,65756.3,2138.19
