DOEID,REGIONC,DIVISION,state_postal,BA_climate,TOTALBTU,TOTALDOL
109060,SOUTH,East South Central,AL,Hot-Humid,44655.54,1798.29
109061,SOUTH,East South Central,TN,Mixed-Humid,68209.44,1852.63
109062,SOUTH,East South Central,MS,Mixed-Humid,51166.42,1305.75
109063,WEST,Pacific,OR,Cold,157697.97,2149.39
109064,SOUTH,South Atlantic,FL,Hot-Humid,16939.71,778.46
109065,SOUTH,East South Central,TN,Mixed-Humid,52542.68,1865.08
109066,SOUTH,East South Central,TN,Mixed-Humid,65878.4,1525.68
109067,SOUTH,East South Central,AL,Mixed-Humid,133861.9,2471.08
109068,SOUTH,South Atlantic,NC,Mixed-Humid,13725.11,514.13
109069,MIDWEST,West North Central,ND,Very-Cold,179621.85,3130.78
109070,WEST,Pacific,WA,Marine,37254.38,1029.08
109071,SOUTH,South Atlantic,NC,Mixed-Humid,93802.94,2641.93
109072,NORTHEAST,New England,MA,Cold,97182.69,2590.05
109073,MIDWEST,West North Central,IA,Cold,75130.86,2247.14
109074,SOUTH,South Atlantic,NC,Mixed-Humid,83596.49,1893.46
109075,MIDWEST,East North Central,IL,Cold,19027.43,489.83
109076,WEST,Pacific,AK,Subarctic,187811.61,4613.97
109077,SOUTH,South Atlantic,NC,Mixed-Humid,42775.52,1919.19
109078,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,71086.84,2903.34
109079,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,75674.74,1251.32
109080,WEST,Pacific,CA,Hot-Dry,33533.68,1293.75
109081,SOUTH,South Atlantic,NC,Mixed-Humid,46504.92,1573.55
109082,WEST,Mountain North,ID,Cold,84564.97,1082.12
109083,SOUTH,West South Central,TX,Hot-Humid,45222.3,1961.44
109084,WEST,Mountain North,ID,Cold,147549.36,2031.86
109085,SOUTH,East South Central,TN,Mixed-Humid,81963.96,2378.84
109086,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,126766.49,4261.88
109087,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,250772.99,4735.91
109088,MIDWEST,East North Central,IL,Cold,191641.62,2360.36
109089,NORTHEAST,Middle Atlantic,NY,Cold,127197.46,1709.87
109090,SOUTH,South Atlantic,GA,Mixed-Humid,49988.44,1964.63
109091,SOUTH,West South Central,TX,Hot-Humid,49726.76,1557.14
109092,SOUTH,East South Central,TN,Mixed-Humid,70561.32,2300.03
109093,SOUTH,South Atlantic,SC,Mixed-Humid,69420.79,2655.73
109094,WEST,Pacific,OR,Marine,30449.87,1231.24
109095,MIDWEST,West North Central,MN,Cold,109440.4,1363.29
109096,SOUTH,South Atlantic,NC,Mixed-Humid,41655.45,1487.83
109097,WEST,Pacific,WA,Marine,16082.69,408.44
109098,MIDWEST,East North Central,MI,Cold,120633.3,1857.81
109099,SOUTH,South Atlantic,NC,Mixed-Humid,160837.33,2647.85
109100,MIDWEST,East North Central,MI,Cold,87035.1,1808.62
109101,SOUTH,East South Central,KY,Mixed-Humid,37652.88,1243.84
109102,MIDWEST,West North Central,KS,Mixed-Humid,95222.71,1450.51
109103,SOUTH,East South Central,TN,Mixed-Humid,118549.74,2141.46
109104,NORTHEAST,New England,MA,Cold,135567.07,3113.66
109105,SOUTH,West South Central,TX,Hot-Humid,66184.27,1839.68
109106,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,21862.05,1835.69
109107,NORTHEAST,Middle Atlantic,PA,Mixed-Humid,82852.79,1829.46
109108,NORTHEAST,Middle Atlantic,NY,Cold,76702.93,1151.31
109109,SOUTH,South Atlantic,VA,Mixed-Humid,66209.28,2300.6
109110,MIDWEST,West North Central,SD,Cold,90970.27,1121.5
109111,SOUTH,South Atlantic,VA,Mixed-Humid,42943.55,1581.14
109112,NORTHEAST,Middle Atlantic,NJ,Cold,55108.39,1468.94
109113,NORTHEAST,Middle Atlantic,NY,Cold,119126.45,2961.37
109114,NORTHEAST,New England,ME,Cold,36648.07,1647.1
109115,SOUTH,East South Central,KY,Mixed-Humid,27795.1,991.89
109116,WEST,Pacific,OR,Marine,103880.12,1724.31
109117,WEST,Pacific,CA,Hot-Dry,29707.22,1350.46
109118,SOUTH,South Atlantic,VA,Mixed-Humid,263457.87,6215.52
109119,MIDWEST,East North Central,OH,Cold,86851.28,2045.9
109120,MIDWEST,West North Central,ND,Very-Cold,226338.98,2570.71
109121,NORTHEAST,Middle Atlantic,NY,Cold,85454.34,1228.49
109122,MIDWEST,East North Central,IL,Cold,107446.88,2694.88
109123,WEST,Mountain North,ID,Cold,27708.48,460.89
109124,MIDWEST,West North Central,ND,Very-Cold,134090.7,1437.58
109125,NORTHEAST,New England,NH,Cold,191878.47,5054.16
109126,SOUTH,South Atlantic,DC,Mixed-Humid,35111.92,897.35
109127,WEST,Pacific,AK,Very-Cold,79430.86,1763.23
109128,SOUTH,South Atlantic,DC,Mixed-Humid,28794.57,1089.57
109129,WEST,Mountain North,UT,Cold,71849.79,1037.99
109130,WEST,Pacific,CA,Marine,53765.43,2003.84
109131,MIDWEST,West North Central,MN,Cold,160555.36,2232.9
109132,SOUTH,South Atlantic,FL,Hot-Humid,16420.19,516.89
109133,WEST,Pacific,CA,Hot-Dry,87050.72,1655.4
109134,SOUTH,East South Central,MS,Hot-Humid,68465.72,2435.91
109135,SOUTH,South Atlantic,NC,Mixed-Humid,45333.44,1894.93
109136,SOUTH,West South Central,TX,Hot-Humid,98190.67,1875.86
109137,MIDWEST,West North Central,SD,Cold,101523.55,2950.12
109138,NORTHEAST,Middle Atlantic,PA,Mixed-Humid,130483.11,2229.9
